--> Called at: 2019-11-28 11:12:37
--> Can't find the rec file, regenerate it.
--> scan mom=40, theta0=44
--> scan mom=40, theta0=45
--> scan mom=40, theta0=46
--> scan mom=40, theta0=47
--> scan mom=40, theta0=48
--> scan mom=40, theta0=49
--> scan mom=40, theta0=50
--> scan mom=40, theta0=51
--> scan mom=40, theta0=52
--> scan mom=40, theta0=53
--> scan mom=40, theta0=54
--> scan mom=40, theta0=55
--> scan mom=40, theta0=56
--> scan mom=40, theta0=57
--> scan mom=40, theta0=58
--> scan mom=40, theta0=59
--> scan mom=40, theta0=60
--> scan mom=40, theta0=61
--> scan mom=40, theta0=62
--> scan mom=40, theta0=63
--> scan mom=40, theta0=64
--> scan mom=40, theta0=65
--> scan mom=40, theta0=66
--> scan mom=40, theta0=67
--> scan mom=40, theta0=68
--> scan mom=40, theta0=69
--> scan mom=40, theta0=70
-->Generating the offset & sigma map.
-->the offset & sigma maps are generated.
